name,size,cost,discount,original_name,original_price
Composite Diamond Split Shank Ring in 10K White Gold, 2 CT. T.W., $999.98, 61%, 2 CT. T.W. Composite Diamond Split Shank Ring in 10K White Gold, $999.98  (61% off)
Composite Diamond Cushion Frame Split Shank Ring in 10K White Gold, 1 CT. T.W., $699.98, 52%, 1 CT. T.W. Composite Diamond Cushion Frame Split Shank Ring in 10K White Gold, $699.98  (52% off)
Diamond Vintage-Style Multi-Row Ring in Sterling Silver, 1 CT. T.W., $399.98, 63%, 1 CT. T.W. Diamond Vintage-Style Multi-Row Ring in Sterling Silver, $399.98  (63% off)
Diamond Double Pear-Shaped Frame Twist Shank Engagement Ring in 10K White Gold, 1/2 CT. T.W., $499.00, 56%, 1/2 CT. T.W. Diamond Double Pear-Shaped Frame Twist Shank Engagement Ring in 10K White Gold, $499.00  (56% off)
Princess-Cut Diamond Double Frame Split Shank Engagement Ring in 10K White Gold, 1/2 CT. T.W., $499.00, 56%, 1/2 CT. T.W. Princess-Cut Diamond Double Frame Split Shank Engagement Ring in 10K White Gold, $499.00  (56% off)
Diamond Past Present Future® Double Oval Frame Engagement Ring in 10K White Gold, 1 CT. T.W., $899.98, 52%, 1 CT. T.W. Diamond Past Present Future® Double Oval Frame Engagement Ring in 10K White Gold, $899.98  (52% off)
Men's  Diamond Triple Row Rectangle-Top Collar Ring in 10K White Gold, 3/4 CT. T.W., $999.98, 41%, Men's 3/4 CT. T.W. Diamond Triple Row Rectangle-Top Collar Ring in 10K White Gold, $999.98  (41% off)
Men's  Diamond Ring in 10K Gold, 1/10 CT. T.W., $499.98, 34%, Men's 1/10 CT. T.W. Diamond Ring in 10K Gold, $499.98  (34% off)
Men's  Square Composite Diamond Double Frame Signet Ring in 10K Gold, 5 CT. T.W., $3499.98, 42%, Men's 5 CT. T.W. Square Composite Diamond Double Frame Signet Ring in 10K Gold, $3499.98  (42% off)
Men's  Rectangular Composite Diamond Border Stepped Edge Multi-Row Ribbed Shank Ring in 10K Gold, 7/8 CT. T.W., $1299.98, 35%, Men's 7/8 CT. T.W. Rectangular Composite Diamond Border Stepped Edge Multi-Row Ribbed Shank Ring in 10K Gold, $1299.98  (35% off)
Composite Diamond Accent Double Cushion Frame Twist Shank Ring in Sterling Silver - Size 7, Na, $29.99, 49%, Composite Diamond Accent Double Cushion Frame Twist Shank Ring in Sterling Silver - Size 7, $29.99  (49% off)
Diamond Criss-Cross Orbit Ring in Sterling Silver, 1/8 CT. T.W., $99.99, 33%, 1/8 CT. T.W. Diamond Criss-Cross Orbit Ring in Sterling Silver, $99.99  (33% off)
Diamond Cluster Frame Ring in 10K Gold, 1/2 CT. T.W., $449.99, 44%, 1/2 CT. T.W. Diamond Cluster Frame Ring in 10K Gold, $449.99  (44% off)
Diamond Multi-Row Stacked Ring in Sterling Silver, 1 CT. T.W., $629.99, 31%, 1 CT. T.W. Diamond Multi-Row Stacked Ring in Sterling Silver, $629.99  (31% off)
Diamond Cushion Cluster Frame Ring in 10K White Gold, 1/2 CT. T.W., $449.99, 44%, 1/2 CT. T.W. Diamond Cushion Cluster Frame Ring in 10K White Gold, $449.99  (44% off)
Diamond Cluster Frame Ring in 10K Rose Gold, 1/2 CT. T.W., $449.99, 44%, 1/2 CT. T.W. Diamond Cluster Frame Ring in 10K Rose Gold, $449.99  (44% off)
Morganite and  Diamond Twine Promise Ring in Rose Rhodium Sterling Silver, 3.5mm, $99.99, 47%, 3.5mm Morganite and 1/20 CT. T.W. Diamond Twine Promise Ring in Rose Rhodium Sterling Silver, $99.99  (47% off)
1- Composite Diamond Double Cushion-Shaped Frame Ring in 10K White Gold, 1/2 CT. T.W., $929.99, 45%, 1-1/2 CT. T.W. Composite Diamond Double Cushion-Shaped Frame Ring in 10K White Gold, $929.99  (45% off)
Diamond Tri-Sides Infinity Shank Promise Ring in Sterling Silver, 1/15 CT. T.W., $89.99, 70%, 1/15 CT. T.W. Diamond Tri-Sides Infinity Shank Promise Ring in Sterling Silver, $89.99  (70% off)
Diamond Accent Promise Ring in 10K Rose Gold, Na, $149.99, 42%, Diamond Accent Promise Ring in 10K Rose Gold, $149.99  (42% off)
Diamond Accent Split Shank Promise Ring in 10K White Gold, Na, $169.99, 43%, Diamond Accent Split Shank Promise Ring in 10K White Gold, $169.99  (43% off)
Diamond Cushion Frame Twist Shank Promise Ring in Sterling Silver, 1/4 CT. T.W., $199.99, 37%, 1/4 CT. T.W. Diamond Cushion Frame Twist Shank Promise Ring in Sterling Silver, $199.99  (37% off)
Composite Diamond Oval-Shaped Frame Double Heart Sides Promise Ring in 10K Gold, 1/6 CT. T.W., $279.99, 33%, 1/6 CT. T.W. Composite Diamond Oval-Shaped Frame Double Heart Sides Promise Ring in 10K Gold, $279.99  (33% off)
Diamond Square Frame Three Stone Promise Ring in 10K White Gold, 1/10 CT. T.W., $219.99, 45%, 1/10 CT. T.W. Diamond Square Frame Three Stone Promise Ring in 10K White Gold, $219.99  (45% off)
Composite Diamond Oval-Shaped Frame Double Heart Sides Promise Ring in 10K White Gold, 1/6 CT. T.W., $279.99, 33%, 1/6 CT. T.W. Composite Diamond Oval-Shaped Frame Double Heart Sides Promise Ring in 10K White Gold, $279.99  (33% off)
Composite Diamond Cushion-Shape Frame Promise Ring in 10K White Gold, 1/5 CT. T.W., $299.99, 33%, 1/5 CT. T.W. Composite Diamond Cushion-Shape Frame Promise Ring in 10K White Gold, $299.99  (33% off)
Cushion-Cut Aquamarine White Sapphire and  Diamond Frame Vintage-Style Ring in 14K White Gold, 8.0mm, $849.99, 29%, 8.0mm Cushion-Cut Aquamarine White Sapphire and 1/20 CT. T.W. Diamond Frame Vintage-Style Ring in 14K White Gold, $849.99  (29% off)
Oval Emerald and  Diamond Graduated Seven Stone Alternating Trios Ring in 10K Gold, 1/6 CT. T.W., $799.99, 40%, Oval Emerald and 1/6 CT. T.W. Diamond Graduated Seven Stone Alternating Trios Ring in 10K Gold, $799.99  (40% off)
Diamond Double Cushion Frame Ring in 10K Rose Gold, 3/8 CT. T.W., $449.99, 42%, 3/8 CT. T.W. Diamond Double Cushion Frame Ring in 10K Rose Gold, $449.99  (42% off)
Lab-Created White Sapphire Three Stone Bridal Set in 10K White Gold, 5.4mm, $289.99, 45%, 5.4mm Lab-Created White Sapphire Three Stone Bridal Set in 10K White Gold, $289.99  (45% off)
Oval Black Sapphire and  Diamond Quatrefoil Frame Vintage-Style Bridal Set in 10K White Gold, 1/5 CT. T.W., $469.99, 41%, Oval Black Sapphire and 1/5 CT. T.W. Diamond Quatrefoil Frame Vintage-Style Bridal Set in 10K White Gold, $469.99  (41% off)
Lab-Created White Sapphire Frame Cascading Bridal Set in Sterling Silver, 7.0mm, $79.99, 38%, 7.0mm Lab-Created White Sapphire Frame Cascading Bridal Set in Sterling Silver, $79.99  (38% off)
Enchanted Disney Villains Maleficent  Enhanced Black Diamond Ring in Sterling Silver and Black Rhodium, 1/10 CT. T.W., $149.99, 21%, Enchanted Disney Villains Maleficent 1/10 CT. T.W. Enhanced Black Diamond Ring in Sterling Silver and Black Rhodium, $149.99  (21% off)
Enchanted Disney Belle  Diamond Rose Ring in 10K Rose Gold, 1/10 CT. T.W., $519.99, 0, Enchanted Disney Belle 1/10 CT. T.W. Diamond Rose Ring in 10K Rose Gold, Now  $519.99
